0024.00 -082.90 [ 45.]
0024.00 -082.80 [ 45.]
0024.00 -082.70 [ 45.]
0024.00 -082.60 [ 45.]
0024.00 -082.50 [ 45.]
0024.00 -082.40 [ 45.]
0024.00 -082.30 [ 45.]
0024.00 -082.20 [ 45.]
0024.00 -082.10 [ 45.]
0024.00 -082.00 [ 45.]
0024.00 -081.90 [ 45.]
0024.00 -081.80 [ 45.]
0024.00 -081.70 [ 45.]
0024.00 -080.60 [ 45.]
0024.00 -080.50 [ 45.]
0024.00 -080.40 [ 45.]
0024.00 -080.30 [ 45.]
0024.00 -080.20 [ 45.]
0024.00 -080.10 [ 45.]
0024.00 -080.00 [ 45.]
0024.00 -079.90 [ 45.]
0024.00 -079.80 [ 45.]
0024.00 -079.70 [ 45.]
0024.10 -083.20 [ 45.]
0024.10 -083.10 [ 45.]
0024.10 -083.00 [ 45.]
0024.10 -082.90 [ 45.]
0024.10 -082.80 [ 45.]
0024.10 -082.70 [ 45.]
0024.10 -082.60 [ 45.]
0024.10 -082.50 [ 45.]
0024.10 -082.40 [ 45.]
0024.10 -082.30 [ 45.]
0024.10 -082.20 [ 45.]
0024.10 -082.10 [ 45.]
0024.10 -082.00 [ 45.]
0024.10 -081.90 [ 45.]
0024.10 -081.80 [ 45.]
0024.10 -081.70 [ 45.]
0024.10 -081.60 [ 45.]
0024.10 -081.50 [ 45.]
0024.10 -081.40 [ 45.]
0024.10 -081.00 [ 45.]
0024.10 -080.90 [ 45.]
0024.10 -080.80 [ 45.]
0024.10 -080.70 [ 45.]
0024.10 -080.60 [ 45.]
0024.10 -080.50 [ 45.]
0024.10 -080.40 [ 45.]
0024.10 -080.30 [ 45.]
0024.10 -080.20 [ 45.]
0024.10 -080.10 [ 45.]
0024.10 -080.00 [ 45.]
0024.10 -079.90 [ 45.]
0024.10 -079.80 [ 45.]
0024.10 -079.70 [ 45.]
0024.10 -079.60 [ 45.]
0024.10 -079.50 [ 45.]
0024.10 -079.40 [ 45.]
0024.10 -079.30 [ 45.]
0024.20 -083.50 [ 45.]
0024.20 -083.40 [ 45.]
0024.20 -083.30 [ 45.]
0024.20 -083.20 [ 45.]
0024.20 -083.10 [ 45.]
0024.20 -083.00 [ 45.]
0024.20 -082.90 [ 45.]
0024.20 -082.80 [ 45.]
0024.20 -082.70 [ 45.]
0024.20 -082.60 [ 45.]
0024.20 -082.50 [ 45.]
0024.20 -082.40 [ 45.]
0024.20 -082.30 [ 45.]
0024.20 -082.20 [ 45.]
0024.20 -082.10 [ 45.]
0024.20 -082.00 [ 45.]
0024.20 -081.90 [ 45.]
0024.20 -081.80 [ 45.]
0024.20 -081.70 [ 45.]
0024.20 -081.60 [ 45.]
0024.20 -081.50 [ 45.]
0024.20 -081.40 [ 45.]
0024.20 -081.30 [ 45.]
0024.20 -081.20 [ 45.]
0024.20 -081.10 [ 45.]
0024.20 -081.00 [ 45.]
0024.20 -080.90 [ 45.]
0024.20 -080.80 [ 45.]
0024.20 -080.70 [ 45.]
0024.20 -080.60 [ 45.]
0024.20 -080.50 [ 45.]
0024.20 -080.40 [ 45.]
0024.20 -080.30 [ 45.]
0024.20 -080.20 [ 45.]
0024.20 -080.10 [ 45.]
0024.20 -080.00 [ 45.]
0024.20 -079.90 [ 45.]
0024.20 -079.80 [ 45.]
0024.20 -079.70 [ 45.]
0024.20 -079.60 [ 45.]
0024.20 -079.50 [ 45.]
0024.20 -079.40 [ 45.]
0024.20 -079.30 [ 45.]
0024.20 -079.20 [ 45.]
0024.20 -079.10 [ 45.]
0024.20 -079.00 [ 45.]
0024.30 -083.70 [ 45.]
0024.30 -083.60 [ 45.]
0024.30 -083.50 [ 45.]
0024.30 -083.40 [ 45.]
0024.30 -083.30 [ 45.]
0024.30 -083.20 [ 45.]
0024.30 -083.10 [ 45.]
0024.30 -083.00 [ 45.]
0024.30 -082.90 [ 45.]
0024.30 -082.80 [ 45.]
0024.30 -082.70 [ 45.]
0024.30 -082.60 [ 45.]
0024.30 -082.50 [ 45.]
0024.30 -082.40 [ 45.]
0024.30 -082.30 [ 45.]
0024.30 -082.20 [ 45.]
0024.30 -082.10 [ 45.]
0024.30 -082.00 [ 45.]
0024.30 -081.90 [ 45.]
0024.30 -081.80 [ 45.]
0024.30 -081.70 [ 45.]
0024.30 -081.60 [ 45.]
0024.30 -081.50 [ 45.]
0024.30 -081.40 [ 45.]
0024.30 -081.30 [ 45.]
0024.30 -081.20 [ 45.]
0024.30 -081.10 [ 45.]
0024.30 -081.00 [ 45.]
0024.30 -080.90 [ 45.]
0024.30 -080.80 [ 45.]
0024.30 -080.70 [ 45.]
0024.30 -080.60 [ 45.]
0024.30 -080.50 [ 45.]
0024.30 -080.40 [ 45.]
0024.30 -080.30 [ 45.]
0024.30 -080.20 [ 45.]
